client_ip,event_counts,std,bot
"58.221.192.222",63,148.237,0
"98.122.3.43",78,118.288,0
"218.30.67.250",482,1896.34,1
"109.252.93.147",191,17.1457,0
"220.220.151.191",94,83.8932,0
"85.101.5.121",104,10.2268,0
"24.42.206.98",134,24.5282,0
"177.35.135.245",70,26.4671,0
"91.233.234.210",595,4.85259,0
"189.172.158.132",58,179.683,0
"94.203.221.140",58,1.76244,0
"94.43.85.26",854,438.694,1
"109.55.98.164",51,41.948,0
"77.92.251.66",843,441.732,1
"157.83.125.12",52,3113.27,0
"173.74.136.236",57,214.102,0
"203.129.111.188",68,20.4067,0
"182.185.91.40",184,57.0953,0
"92.238.132.164",57,43.6336,0
"186.241.192.221",112,77.4732,0
"99.71.93.15",50,247.032,0
"174.98.170.75",64,1989.13,0
"189.69.184.156",67,27.5819,0
"84.220.195.170",62,237.31,0
"174.50.149.252",51,92.133,0
"201.82.80.15",64,40.7348,0
"78.179.246.246",59,11.0535,0
"174.61.151.171",67,77.6776,0
"84.3.1.58",57,205.301,0
"173.51.43.217",57,102.704,0
"2.93.205.37",275,17.0243,0
"184.88.74.221",53,44.3542,0
"83.229.148.6",4937,200.657,1
"123.220.248.228",91,106.676,0
"93.57.13.2",159,1455.06,1
"41.252.14.203",84,89.9013,0
"82.235.181.65",63,44.6593,0
"89.98.220.244",56,132.862,0
"84.245.95.92",127,188.232,0
"94.123.225.225",66,11.9701,0
"107.178.200.211",50,3847.41,1
"107.178.200.212",60,4534.73,1
"107.178.200.213",50,4842.78,1
"90.222.140.14",83,53.8594,0
"107.178.200.218",50,3123.35,1
"107.178.200.219",54,5016.54,1
"151.227.225.177",62,4318.8,1
"78.112.44.66",87,75.7512,0
"122.56.53.230",1437,378.886,1
"122.56.53.231",1345,472.672,1
"50.101.150.185",145,378.73,0
"180.140.25.151",61,225.312,0
"188.123.230.121",55,12.0368,0
"65.52.104.141",58,5464.72,1
"151.231.81.172",109,204.804,0
"69.248.90.83",56,7.06957,0
"2.60.208.4",100,21.8978,0
"187.1.254.197",52,114.103,0
"78.96.142.62",107,44.2413,0
"209.117.122.226",52,76.2928,0
"166.82.155.151",168,541.037,0
"60.4.32.13",75,7.81273,0
"189.84.163.140",56,21.6375,0
"83.85.169.210",59,47.648,0
"70.176.199.190",95,49.6771,0
"83.82.138.9",95,156.869,0
"65.52.107.37",1736,364.259,1
"113.80.10.195",69,67.0224,0
"79.252.213.53",77,8.06127,0
"217.76.74.220",99,18.0015,0
"177.40.143.144",162,137.267,0
"95.222.192.137",67,107.997,0
"124.153.101.210",2840,251.637,1
"90.211.13.78",67,5.67193,0
"195.64.206.231",66,103.771,0
"88.224.238.244",51,42.1726,0
"77.222.102.200",135,94.628,0
"120.168.0.18",75,191.009,0
"68.10.30.74",68,4.78851,0
"114.27.42.160",81,164.808,0
"111.243.23.65",55,12.8304,0
"202.67.40.19",68,4022.41,0
"187.74.247.240",98,10.675,0
"95.91.255.202",57,139.701,0
"79.191.198.98",131,18.3026,0
"98.115.73.230",89,126.924,0
"117.208.210.83",75,41.9357,0
"79.30.17.164",73,180.304,0
"109.12.82.82",61,111.355,0
"27.227.249.226",88,54.9975,0
"171.216.69.26",52,18.7871,0
"202.142.96.84",53,49.7543,0
